arc_model,N,budget_mps,horizon_days,candidate_count,k_min_min,k_min_median,k_min_max,k_min_histogram_json
v2_two_edge,12,25,30,3000,2,10.0,12,"{""2"":1,""3"":14,""4"":134,""5"":128,""6"":119,""7"":197,""8"":237,""9"":330,""10"":423,""11"":637,""12"":780}"
v2_two_edge,12,25,60,3000,2,9.0,12,"{""2"":29,""3"":226,""4"":132,""5"":162,""6"":222,""7"":265,""8"":325,""9"":358,""10"":392,""11"":446,""12"":443}"
v2_two_edge,12,25,90,3000,2,8.0,12,"{""2"":255,""3"":52,""4"":273,""5"":179,""6"":283,""7"":312,""8"":325,""9"":320,""10"":348,""11"":315,""12"":338}"
v2_two_edge,12,50,30,3000,2,9.0,12,"{""2"":29,""3"":226,""4"":132,""5"":162,""6"":222,""7"":265,""8"":325,""9"":358,""10"":392,""11"":447,""12"":442}"
v2_two_edge,12,50,60,3000,1,7.0,12,"{""1"":7,""2"":277,""3"":153,""4"":295,""5"":270,""6"":289,""7"":287,""8"":292,""9"":284,""10"":287,""11"":278,""12"":281}"
v2_two_edge,12,50,90,3000,1,6.0,12,"{""1"":249,""2"":253,""3"":254,""4"":251,""5"":249,""6"":249,""7"":250,""8"":250,""9"":276,""10"":356,""11"":289,""12"":74}"
v2_two_edge,12,75,30,3000,2,9.0,12,"{""2"":66,""3"":196,""4"":171,""5"":179,""6"":230,""7"":265,""8"":318,""9"":374,""10"":378,""11"":404,""12"":419}"
v2_two_edge,12,75,60,3000,1,7.0,12,"{""1"":25,""2"":288,""3"":203,""4"":297,""5"":273,""6"":290,""7"":265,""8"":282,""9"":266,""10"":278,""11"":285,""12"":248}"
v2_two_edge,12,75,90,3000,1,6.0,12,"{""1"":252,""2"":252,""3"":252,""4"":252,""5"":249,""6"":249,""7"":249,""8"":257,""9"":319,""10"":407,""11"":228,""12"":34}"
v2_two_edge,24,25,30,3000,4,20.0,24,"{""4"":6,""5"":88,""6"":32,""7"":10,""8"":44,""9"":60,""10"":43,""11"":62,""12"":65,""13"":71,""14"":96,""15"":108,""16"":108,""17"":152,""18"":150,""19"":220,""20"":278,""21"":399,""22"":487,""23"":373,""24"":148}"
v2_two_edge,24,25,60,3000,3,17.0,24,"{""3"":126,""4"":2,""5"":32,""6"":101,""7"":45,""8"":74,""9"":102,""10"":77,""11"":84,""12"":101,""13"":146,""14"":122,""15"":159,""16"":142,""17"":191,""18"":257,""19"":350,""20"":406,""21"":310,""22"":140,""23"":27,""24"":6}"
v2_two_edge,24,25,90,3000,2,15.0,22,"{""2"":126,""4"":126,""5"":11,""6"":123,""7"":55,""8"":106,""9"":94,""10"":125,""11"":133,""12"":135,""13"":153,""14"":165,""15"":200,""16"":275,""17"":400,""18"":384,""19"":258,""20"":104,""21"":24,""22"":3}"
v2_two_edge,24,50,30,3000,3,17.0,24,"{""3"":126,""4"":2,""5"":32,""6"":101,""7"":45,""8"":74,""9"":102,""10"":78,""11"":83,""12"":102,""13"":145,""14"":122,""15"":159,""16"":142,""17"":191,""18"":257,""19"":350,""20"":406,""21"":310,""22"":140,""23"":27,""24"":6}"
v2_two_edge,24,50,60,3000,2,14.0,20,"{""2"":126,""3"":15,""4"":120,""5"":70,""6"":130,""7"":103,""8"":134,""9"":144,""10"":148,""11"":142,""12"":155,""13"":187,""14"":266,""15"":400,""16"":494,""17"":257,""18"":90,""19"":18,""20"":1}"
v2_two_edge,24,50,90,3000,1,12.0,16,"{""1"":121,""2"":127,""3"":129,""4"":127,""5"":124,""6"":128,""7"":126,""8"":126,""9"":126,""10"":133,""11"":221,""12"":624,""13"":661,""14"":203,""15"":23,""16"":1}"
v2_two_edge,24,75,30,3000,2,17.0,24,"{""2"":2,""3"":124,""4"":9,""5"":48,""6"":94,""7"":67,""8"":81,""9"":94,""10"":85,""11"":89,""12"":114,""13"":145,""14"":142,""15"":147,""16"":160,""17"":208,""18"":289,""19"":384,""20"":371,""21"":249,""22"":85,""23"":10,""24"":3}"
v2_two_edge,24,75,60,3000,2,13.0,19,"{""2"":127,""3"":26,""4"":125,""5"":98,""6"":140,""7"":121,""8"":147,""9"":149,""10"":145,""11"":146,""12"":146,""13"":225,""14"":375,""15"":515,""16"":364,""17"":128,""18"":22,""19"":1}"
v2_two_edge,24,75,90,3000,1,11.0,14,"{""1"":126,""2"":126,""3"":126,""4"":126,""5"":126,""6"":126,""7"":126,""8"":126,""9"":128,""10"":172,""11"":498,""12"":845,""13"":323,""14"":26}"
