arc_model,N,budget_mps,horizon_days,candidate_count,k_min_min,k_min_median,k_min_max,k_min_histogram_json
v2_two_edge,8,25,30,2000,5,8.0,8,"{""5"":9,""6"":110,""7"":674,""8"":1207}"
v2_two_edge,8,25,60,2000,4,7.0,8,"{""4"":5,""5"":62,""6"":351,""7"":848,""8"":734}"
v2_two_edge,8,25,90,2000,4,7.0,8,"{""4"":18,""5"":145,""6"":590,""7"":823,""8"":424}"
v2_two_edge,8,50,30,2000,4,7.0,8,"{""4"":5,""5"":62,""6"":351,""7"":848,""8"":734}"
v2_two_edge,8,50,60,2000,3,6.0,8,"{""3"":1,""4"":35,""5"":299,""6"":771,""7"":670,""8"":224}"
v2_two_edge,8,50,90,2000,3,6.0,8,"{""3"":10,""4"":132,""5"":635,""6"":806,""7"":371,""8"":46}"
v2_two_edge,8,75,30,2000,4,7.0,8,"{""4"":6,""5"":73,""6"":395,""7"":859,""8"":667}"
v2_two_edge,8,75,60,2000,3,6.0,8,"{""3"":1,""4"":54,""5"":362,""6"":778,""7"":634,""8"":171}"
v2_two_edge,8,75,90,2000,3,6.0,8,"{""3"":13,""4"":177,""5"":694,""6"":793,""7"":295,""8"":28}"
v2_two_edge,12,25,30,2000,7,11.0,12,"{""7"":1,""8"":13,""9"":102,""10"":440,""11"":871,""12"":573}"
v2_two_edge,12,25,60,2000,6,10.0,12,"{""6"":2,""7"":13,""8"":136,""9"":420,""10"":747,""11"":541,""12"":141}"
v2_two_edge,12,25,90,2000,6,9.0,12,"{""6"":11,""7"":87,""8"":348,""9"":680,""10"":637,""11"":205,""12"":32}"
v2_two_edge,12,50,30,2000,6,10.0,12,"{""6"":2,""7"":13,""8"":136,""9"":420,""10"":747,""11"":541,""12"":141}"
v2_two_edge,12,50,60,2000,5,9.0,12,"{""5"":3,""6"":49,""7"":250,""8"":588,""9"":685,""10"":362,""11"":59,""12"":4}"
v2_two_edge,12,50,90,2000,4,8.0,11,"{""4"":1,""5"":45,""6"":249,""7"":670,""8"":703,""9"":284,""10"":44,""11"":4}"
v2_two_edge,12,75,30,2000,6,10.0,12,"{""6"":2,""7"":22,""8"":169,""9"":475,""10"":766,""11"":459,""12"":107}"
v2_two_edge,12,75,60,2000,5,8.0,12,"{""5"":7,""6"":73,""7"":318,""8"":677,""9"":625,""10"":260,""11"":38,""12"":2}"
v2_two_edge,12,75,90,2000,4,7.0,10,"{""4"":1,""5"":70,""6"":361,""7"":762,""8"":589,""9"":197,""10"":20}"
v2_two_edge,16,25,30,2000,10,14.0,16,"{""10"":4,""11"":28,""12"":121,""13"":391,""14"":651,""15"":564,""16"":241}"
v2_two_edge,16,25,60,2000,9,13.0,16,"{""9"":9,""10"":81,""11"":258,""12"":498,""13"":624,""14"":395,""15"":120,""16"":15}"
v2_two_edge,16,25,90,2000,8,12.0,15,"{""8"":10,""9"":95,""10"":328,""11"":562,""12"":572,""13"":335,""14"":80,""15"":18}"
v2_two_edge,16,50,30,2000,9,13.0,16,"{""9"":9,""10"":81,""11"":258,""12"":498,""13"":625,""14"":394,""15"":120,""16"":15}"
v2_two_edge,16,50,60,2000,7,10.0,15,"{""7"":9,""8"":86,""9"":301,""10"":636,""11"":567,""12"":299,""13"":91,""14"":9,""15"":2}"
v2_two_edge,16,50,90,2000,5,9.0,12,"{""5"":1,""6"":28,""7"":154,""8"":523,""9"":754,""10"":434,""11"":95,""12"":11}"
v2_two_edge,16,75,30,2000,8,13.0,16,"{""8"":1,""9"":17,""10"":118,""11"":311,""12"":546,""13"":600,""14"":318,""15"":77,""16"":12}"
v2_two_edge,16,75,60,2000,7,10.0,14,"{""7"":24,""8"":141,""9"":422,""10"":692,""11"":482,""12"":191,""13"":46,""14"":2}"
v2_two_edge,16,75,90,2000,5,9.0,12,"{""5"":4,""6"":44,""7"":273,""8"":658,""9"":708,""10"":277,""11"":33,""12"":3}"
v2_two_edge,24,25,30,2000,14,20.0,24,"{""14"":1,""15"":1,""16"":24,""17"":78,""18"":209,""19"":420,""20"":452,""21"":469,""22"":263,""23"":77,""24"":6}"
v2_two_edge,24,25,60,2000,13,17.0,22,"{""13"":22,""14"":74,""15"":196,""16"":379,""17"":556,""18"":401,""19"":252,""20"":100,""21"":17,""22"":3}"
v2_two_edge,24,25,90,2000,10,15.0,20,"{""10"":1,""11"":15,""12"":70,""13"":241,""14"":439,""15"":536,""16"":423,""17"":207,""18"":59,""19"":8,""20"":1}"
v2_two_edge,24,50,30,2000,13,17.0,22,"{""13"":22,""14"":74,""15"":196,""16"":379,""17"":556,""18"":401,""19"":252,""20"":100,""21"":17,""22"":3}"
v2_two_edge,24,50,60,2000,9,13.0,18,"{""9"":3,""10"":26,""11"":135,""12"":390,""13"":557,""14"":558,""15"":254,""16"":69,""17"":7,""18"":1}"
v2_two_edge,24,50,90,2000,7,11.0,14,"{""7"":1,""8"":33,""9"":207,""10"":535,""11"":676,""12"":428,""13"":111,""14"":9}"
v2_two_edge,24,75,30,2000,12,17.0,22,"{""12"":2,""13"":39,""14"":136,""15"":258,""16"":481,""17"":519,""18"":337,""19"":171,""20"":48,""21"":8,""22"":1}"
v2_two_edge,24,75,60,2000,9,13.0,17,"{""9"":10,""10"":52,""11"":238,""12"":531,""13"":625,""14"":409,""15"":114,""16"":20,""17"":1}"
v2_two_edge,24,75,90,2000,7,10.0,13,"{""7"":4,""8"":71,""9"":398,""10"":699,""11"":620,""12"":180,""13"":28}"
v2_two_edge,36,25,30,2000,20,28.0,35,"{""20"":1,""21"":2,""22"":8,""23"":33,""24"":76,""25"":156,""26"":269,""27"":395,""28"":404,""29"":342,""30"":182,""31"":86,""32"":35,""33"":8,""34"":2,""35"":1}"
v2_two_edge,36,25,60,2000,17,22.0,28,"{""17"":2,""18"":34,""19"":72,""20"":177,""21"":341,""22"":434,""23"":427,""24"":293,""25"":143,""26"":54,""27"":15,""28"":8}"
v2_two_edge,36,25,90,2000,14,19.0,23,"{""14"":4,""15"":22,""16"":112,""17"":264,""18"":445,""19"":509,""20"":378,""21"":198,""22"":55,""23"":13}"
v2_two_edge,36,50,30,2000,17,22.0,28,"{""17"":2,""18"":34,""19"":72,""20"":178,""21"":340,""22"":435,""23"":426,""24"":294,""25"":142,""26"":55,""27"":14,""28"":8}"
v2_two_edge,36,50,60,2000,12,16.0,20,"{""12"":3,""13"":26,""14"":163,""15"":399,""16"":608,""17"":489,""18"":240,""19"":66,""20"":6}"
v2_two_edge,36,50,90,2000,9,13.0,15,"{""9"":1,""10"":13,""11"":187,""12"":626,""13"":796,""14"":334,""15"":43}"
v2_two_edge,36,75,30,2000,17,22.0,27,"{""17"":14,""18"":61,""19"":147,""20"":305,""21"":439,""22"":422,""23"":365,""24"":166,""25"":59,""26"":15,""27"":7}"
v2_two_edge,36,75,60,2000,11,15.0,20,"{""11"":1,""12"":9,""13"":99,""14"":355,""15"":604,""16"":574,""17"":279,""18"":68,""19"":10,""20"":1}"
v2_two_edge,36,75,90,2000,9,12.0,15,"{""9"":8,""10"":91,""11"":488,""12"":899,""13"":455,""14"":58,""15"":1}"
