arc_model,baseline_set,N,budget_mps,horizon_days,baseline,candidate_count,overestimation_count,overestimation_rate,underestimation_count,underestimation_rate,excess_0_count,excess_1_count,excess_2_count,excess_ge3_count,max_excess,min_excess
v2_two_edge,v2_repaired,8,25,30,EQUAL_SECTOR,2000,427,0.2135,0,0,1573,406,21,0,2,0
v2_two_edge,v2_repaired,8,25,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,25,30,LINEAR_MIN,2000,4,0.002,0,0,1996,4,0,0,1,0
v2_two_edge,v2_repaired,8,25,30,SPAN_CEIL_CAPPED,2000,793,0.39650000000000002,0,0,1207,674,110,9,3,0
v2_two_edge,v2_repaired,8,25,60,EQUAL_SECTOR,2000,706,0.35299999999999998,0,0,1294,599,103,4,3,0
v2_two_edge,v2_repaired,8,25,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,25,60,LINEAR_MIN,2000,9,0.0044999999999999997,0,0,1991,9,0,0,1,0
v2_two_edge,v2_repaired,8,25,60,SPAN_CEIL_CAPPED,2000,1266,0.63300000000000001,0,0,734,848,351,67,4,0
v2_two_edge,v2_repaired,8,25,90,EQUAL_SECTOR,2000,955,0.47749999999999998,0,0,1045,779,166,10,3,0
v2_two_edge,v2_repaired,8,25,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,25,90,LINEAR_MIN,2000,25,0.012500000000000001,0,0,1975,25,0,0,1,0
v2_two_edge,v2_repaired,8,25,90,SPAN_CEIL_CAPPED,2000,1576,0.78800000000000003,0,0,424,823,590,163,4,0
v2_two_edge,v2_repaired,8,50,30,EQUAL_SECTOR,2000,706,0.35299999999999998,0,0,1294,599,103,4,3,0
v2_two_edge,v2_repaired,8,50,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,50,30,LINEAR_MIN,2000,9,0.0044999999999999997,0,0,1991,9,0,0,1,0
v2_two_edge,v2_repaired,8,50,30,SPAN_CEIL_CAPPED,2000,1266,0.63300000000000001,0,0,734,848,351,67,4,0
v2_two_edge,v2_repaired,8,50,60,EQUAL_SECTOR,2000,1133,0.5665,0,0,867,903,211,19,4,0
v2_two_edge,v2_repaired,8,50,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,50,60,LINEAR_MIN,2000,52,0.025999999999999999,0,0,1948,52,0,0,1,0
v2_two_edge,v2_repaired,8,50,60,SPAN_CEIL_CAPPED,2000,1776,0.88800000000000001,0,0,224,670,771,335,5,0
v2_two_edge,v2_repaired,8,50,90,EQUAL_SECTOR,2000,1407,0.70350000000000001,0,0,593,972,387,48,3,0
v2_two_edge,v2_repaired,8,50,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,50,90,LINEAR_MIN,2000,83,0.041500000000000002,0,0,1917,83,0,0,1,0
v2_two_edge,v2_repaired,8,50,90,SPAN_CEIL_CAPPED,2000,1954,0.97699999999999998,0,0,46,373,808,773,5,0
v2_two_edge,v2_repaired,8,75,30,EQUAL_SECTOR,2000,742,0.371,0,0,1258,629,107,6,3,0
v2_two_edge,v2_repaired,8,75,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,75,30,LINEAR_MIN,2000,9,0.0044999999999999997,0,0,1991,9,0,0,1,0
v2_two_edge,v2_repaired,8,75,30,SPAN_CEIL_CAPPED,2000,1333,0.66649999999999998,0,0,667,859,395,79,4,0
v2_two_edge,v2_repaired,8,75,60,EQUAL_SECTOR,2000,1185,0.59250000000000003,0,0,815,863,292,30,3,0
v2_two_edge,v2_repaired,8,75,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,75,60,LINEAR_MIN,2000,59,0.029499999999999998,0,0,1941,59,0,0,1,0
v2_two_edge,v2_repaired,8,75,60,SPAN_CEIL_CAPPED,2000,1829,0.91449999999999998,0,0,171,634,778,417,5,0
v2_two_edge,v2_repaired,8,75,90,EQUAL_SECTOR,2000,1397,0.69850000000000001,0,0,603,967,377,53,4,0
v2_two_edge,v2_repaired,8,75,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,8,75,90,LINEAR_MIN,2000,93,0.0465,0,0,1907,93,0,0,1,0
v2_two_edge,v2_repaired,8,75,90,SPAN_CEIL_CAPPED,2000,1972,0.98599999999999999,0,0,28,297,800,875,5,0
v2_two_edge,v2_repaired,12,25,30,EQUAL_SECTOR,2000,848,0.42399999999999999,0,0,1152,701,140,7,3,0
v2_two_edge,v2_repaired,12,25,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,25,30,LINEAR_MIN,2000,7,0.0035000000000000001,0,0,1993,7,0,0,1,0
v2_two_edge,v2_repaired,12,25,30,SPAN_CEIL_CAPPED,2000,1427,0.71350000000000002,0,0,573,871,440,116,5,0
v2_two_edge,v2_repaired,12,25,60,EQUAL_SECTOR,2000,1257,0.62849999999999995,0,0,743,843,352,62,4,0
v2_two_edge,v2_repaired,12,25,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,25,60,LINEAR_MIN,2000,29,0.014500000000000001,0,0,1971,29,0,0,1,0
v2_two_edge,v2_repaired,12,25,60,SPAN_CEIL_CAPPED,2000,1859,0.92949999999999999,0,0,141,541,747,571,6,0
v2_two_edge,v2_repaired,12,25,90,EQUAL_SECTOR,2000,1480,0.73999999999999999,0,0,520,849,491,140,4,0
v2_two_edge,v2_repaired,12,25,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,25,90,LINEAR_MIN,2000,55,0.0275,0,0,1945,55,0,0,1,0
v2_two_edge,v2_repaired,12,25,90,SPAN_CEIL_CAPPED,2000,1968,0.98399999999999999,0,0,32,205,637,1126,6,0
v2_two_edge,v2_repaired,12,50,30,EQUAL_SECTOR,2000,1257,0.62849999999999995,0,0,743,843,352,62,4,0
v2_two_edge,v2_repaired,12,50,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,50,30,LINEAR_MIN,2000,29,0.014500000000000001,0,0,1971,29,0,0,1,0
v2_two_edge,v2_repaired,12,50,30,SPAN_CEIL_CAPPED,2000,1859,0.92949999999999999,0,0,141,541,747,571,6,0
v2_two_edge,v2_repaired,12,50,60,EQUAL_SECTOR,2000,1624,0.81200000000000006,0,0,376,811,602,211,4,0
v2_two_edge,v2_repaired,12,50,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
