scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,winner_Max_gap_min,winner_K_min
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,1,12,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,2,12,1,1015,1071,2
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,3,12,15,558,581,3
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,4,12,149,328,377,4
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,5,12,277,121,200,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,6,12,396,42,167,6
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,7,12,593,42,167,6
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,8,12,830,42,167,6
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,9,12,1160,41,199,9
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,10,12,1583,41,182,10
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,11,12,2220,41,182,10
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,12,12,3000,41,182,10
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,1,12,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,2,12,1,1021,1071,2
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,3,12,15,549,574,3
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,4,12,149,328,376,4
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,5,12,277,125,198,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,6,12,396,42,174,6
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,7,12,593,40,199,7
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,8,12,830,40,199,7
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,9,12,1160,40,199,7
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,10,12,1583,40,199,7
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,11,12,2220,40,199,7
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,12,12,3000,40,199,7
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,1,12,0,,,
