scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,previous_frontier_P95_primary_min,delta_P95_min,is_max_improvement_K,max_improvement_K,max_improvement_delta_P95_min
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,1,12,0,,,,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,2,12,1,1015,,,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,3,12,15,558,1015,457,true,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,4,12,149,328,558,230,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,5,12,277,121,328,207,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,6,12,396,42,121,79,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,7,12,593,42,42,0,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,8,12,830,42,42,0,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,9,12,1160,41,42,1,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,10,12,1583,41,41,0,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,11,12,2220,41,41,0,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,842400,v2_two_edge,12,12,3000,41,41,0,false,3,457
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,1,12,0,,,,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,2,12,1,1021,,,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,3,12,15,549,1021,472,true,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,4,12,149,328,549,221,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,5,12,277,125,328,203,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,6,12,396,42,125,83,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,7,12,593,40,42,2,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,8,12,830,40,40,0,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,9,12,1160,40,40,0,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,10,12,1583,40,40,0,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,11,12,2220,40,40,0,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,30,1447200,v2_two_edge,12,12,3000,40,40,0,false,3,472
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,1,12,0,,,,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,2,12,29,558,,,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,3,12,255,327,558,231,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,4,12,387,42,327,285,true,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,5,12,549,42,42,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,6,12,771,42,42,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,7,12,1036,41,42,1,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,8,12,1361,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,9,12,1719,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,10,12,2111,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,11,12,2557,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,842400,v2_two_edge,12,12,3000,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,1,12,0,,,,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,2,12,29,555,,,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,3,12,255,335,555,220,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,4,12,387,42,335,293,true,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,5,12,549,40,42,2,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,6,12,771,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,7,12,1036,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,8,12,1361,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,9,12,1719,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,10,12,2111,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,25,60,1447200,v2_two_edge,11,12,2557,40,40,0,false,4,293
